method,window_days,k,deployability,r2,rmse,mae,n_eval
window,14,6,short_deploy,0.403920708571327,14.93952464215049,10.706229869244357,13398
window,30,6,short_deploy,0.5048824891476378,13.682953869545235,9.959889407501505,12774
window,45,6,short_deploy,0.505918470166725,13.587657254486922,9.7639245239952,12189
window,60,6,short_deploy,0.44626446207390313,14.195291880464366,10.41784499028679,11604
window,90,6,short_deploy,0.3802654596070819,14.745062444836321,10.849608796913378,10443
window,120,6,short_deploy,0.42687948257027764,13.799024611092012,10.096767057734212,9303
