day,actual,nowcast,band_lo,band_hi,pred_tier,actual_tier
2019-09-23,42.193333333333335,43.349665498650204,19.158185005576993,67.54114599172341,High,High
2019-09-24,35.915263157894735,43.05132084478063,18.859840351707422,67.24280133785385,High,High
2019-09-25,24.605,40.59760581060515,16.40612531753194,64.78908630367836,High,Elevated
2019-09-26,20.926666666666662,32.8676904106097,8.676209917536486,57.05917090368291,Elevated,Elevated
2019-09-27,28.15277777777778,34.101712124131446,9.910231631058235,58.29319261720465,Elevated,Elevated
2019-09-30,13.63,25.202767841012605,1.011287347939394,49.394248334085816,Elevated,Elevated
2019-10-01,20.3125,32.74763669416803,8.556156201094819,56.93911718724124,Elevated,Elevated
2019-10-02,10.835,31.27235357777488,7.080873084701668,55.463834070848094,Elevated,Elevated
2019-10-03,18.630454545454544,34.43613072428709,10.244650231213878,58.6276112173603,Elevated,Elevated
2019-10-04,12.768333333333333,28.664949105051843,4.473468611978632,52.856429598125054,Elevated,Elevated
2019-10-05,11.708947368421052,32.23177918409497,8.040298691021757,56.423259677168176,Elevated,Elevated
2019-10-06,12.402,30.102851841657408,5.911371348584197,54.29433233473062,Elevated,Elevated
2019-10-07,13.815,32.421206193274,8.229725700200792,56.61268668634722,Elevated,Elevated
2019-10-08,27.30875,36.12586029759742,11.934379804524209,60.31734079067063,High,Elevated
2019-10-09,17.521666666666665,36.8290528427454,12.637572349672187,61.02053333581861,High,Elevated
2019-10-10,14.032,30.260950391459986,6.0694698983867745,54.4524308845332,Elevated,Elevated
2019-10-14,12.348571428571429,26.395081299472057,2.203600806398846,50.58656179254527,Elevated,Elevated
2019-10-15,16.036666666666665,32.41318232924449,8.221701836171281,56.60466282231771,Elevated,Elevated
2019-10-16,13.06111111111111,28.501428162282924,4.309947669209713,52.692908655356135,Elevated,Elevated
2019-10-17,19.886666666666667,29.524747725909798,5.333267232836587,53.716228218983005,Elevated,Elevated
2019-10-31,35.058571428571426,29.771182274518218,5.5797017814450065,53.962662767591425,Elevated,Elevated
2019-11-01,19.6405,35.03667438230796,10.845193889234746,59.228154875381165,Elevated,Elevated
2019-11-02,29.60736842105263,37.55380807748983,13.362327584416622,61.74528857056305,High,Elevated
2019-11-03,36.07578947368421,35.8148938152639,11.62341332219069,60.006374308337115,High,High
2019-11-04,30.550476190476193,39.260589371553756,15.069108878480545,63.452069864626964,High,Elevated
2019-11-05,43.76,37.08529177341264,12.893811280339431,61.27677226648585,High,High
2019-11-06,35.606,36.05011969933507,11.85863920626186,60.241600192408285,High,High
2019-11-07,33.77263157894737,32.78634153705749,8.594861043984277,56.977822030130696,Elevated,Elevated
2019-11-08,34.2785,34.46168499017654,10.270204497103332,58.65316548324975,Elevated,Elevated
2019-11-09,42.94904761904762,39.23595131769561,15.044470824622397,63.42743181076882,High,High
2019-11-10,27.158421052631574,37.50883411178064,13.317353618707426,61.700314604853844,High,Elevated
