r2,rmse,mae,exact_tier,within_one_tier,macro_f1,danger_precision,danger_recall,k,category_mode,deployability,feature_family,model,n_eval,fold_r2
0.579550970065354,14.179284155316415,10.501304950579803,0.7334507042253521,0.9869718309859155,0.6681110115237562,0.7231638418079096,0.5423728813559322,6,full_history,diagnostic_non_deployable,external_interactions,rf_balanced,2840,"[0.509, 0.435, 0.543, 0.585, 0.58]"
0.5649883766891579,14.42274945284884,10.741509395246856,0.7080985915492958,0.9855633802816901,0.6573988753787732,0.7116402116402116,0.5699152542372882,6,full_history,diagnostic_non_deployable,cyclic_weather,rf_balanced,2840,"[0.544, 0.55, 0.641, 0.609, 0.565]"
0.55849807662708,14.529943598366048,11.07109980669259,0.6933098591549296,0.9919014084507042,0.6364838620752868,0.8007518796992481,0.451271186440678,6,full_history,diagnostic_non_deployable,external_buildings,rf_balanced,2840,"[0.513, 0.436, 0.499, 0.602, 0.559]"
0.5574416860384148,14.547316257673504,10.960799790682223,0.7,0.9876760563380281,0.6480522149096082,0.7091412742382271,0.5423728813559322,5,full_history,diagnostic_non_deployable,cyclic_weather,rf_balanced,2840,"[0.554, 0.561, 0.572, 0.614, 0.558]"
0.5533991239070486,14.613606666208925,10.976791400036502,0.7007042253521126,0.9897887323943662,0.6310042316234267,0.7546468401486989,0.4300847457627119,6,full_history,diagnostic_non_deployable,external,rf_balanced,2840,"[0.489, 0.495, 0.575, 0.582, 0.556]"
0.5521814837599437,14.63351482457414,10.50097774358097,0.7299295774647887,0.9876760563380281,0.6253774578467032,0.8106796116504854,0.3538135593220339,4,full_history,diagnostic_non_deployable,external_interactions,rf_balanced,2840,"[0.509, 0.374, 0.579, 0.589, 0.553]"
0.5513064104935808,14.647805377067042,10.948176608026241,0.7049295774647887,0.9834507042253521,0.6535632643454157,0.7068062827225131,0.5720338983050848,6,full_history,diagnostic_non_deployable,external,hgb_l2,2840,"[0.539, 0.488, 0.508, 0.608, 0.552]"
0.549761491279045,14.673001001240227,11.072651156110501,0.7059859154929577,0.9897887323943662,0.6494396419764675,0.7123287671232876,0.5508474576271186,5,full_history,diagnostic_non_deployable,external_interactions,rf_balanced,2840,"[0.5, 0.431, 0.583, 0.587, 0.55]"
0.5496822349713899,14.674292402003907,10.938000828826828,0.7077464788732394,0.9845070422535211,0.6538958864335077,0.7049180327868853,0.5466101694915254,6,full_history,diagnostic_non_deployable,base_cat,rf_balanced,2840,"[0.534, 0.47, 0.628, 0.602, 0.55]"
0.5484946785750688,14.693628831926393,11.23631531467346,0.6876760563380282,0.9897887323943662,0.6349591894743157,0.7451612903225806,0.4894067796610169,5,full_history,diagnostic_non_deployable,external,rf_balanced,2840,"[0.5, 0.506, 0.601, 0.579, 0.551]"
0.5433898794718345,14.776459749266236,10.65527256735886,0.7080985915492958,0.9869718309859155,0.6123577146591894,0.7877358490566038,0.3538135593220339,4,full_history,diagnostic_non_deployable,cyclic_weather,rf_balanced,2840,"[0.551, 0.469, 0.591, 0.612, 0.544]"
0.5409900042150542,14.815240303267355,11.293641632331738,0.6866197183098591,0.9911971830985915,0.6251943827349495,0.7397260273972602,0.4576271186440678,6,full_history,diagnostic_non_deployable,external_buildings,hgb_l2,2840,"[0.53, 0.485, 0.472, 0.595, 0.541]"
0.5327693893936105,14.947317942727071,11.19173603693891,0.7066901408450704,0.9809859154929578,0.6610331650339257,0.698019801980198,0.597457627118644,5,full_history,diagnostic_non_deployable,external,hgb_l2,2840,"[0.476, 0.484, 0.596, 0.586, 0.534]"
0.5319507633319154,14.960406670969906,11.521365865719542,0.6672535211267606,0.9904929577464788,0.6205511692194117,0.7306501547987616,0.5,5,full_history,diagnostic_non_deployable,external_buildings,hgb_l2,2840,"[0.5, 0.478, 0.59, 0.585, 0.532]"
0.5311056708103081,14.973906560567517,11.495127009471222,0.680281690140845,0.9933098591549295,0.6279515696247114,0.7620689655172413,0.4682203389830508,5,full_history,diagnostic_non_deployable,external_buildings,rf_balanced,2840,"[0.513, 0.417, 0.558, 0.593, 0.531]"
0.5310743653064471,14.974406415051241,11.26232266879918,0.6982394366197183,0.9735915492957746,0.6562393387932709,0.6541850220264317,0.6292372881355932,5,full_history,diagnostic_non_deployable,base_cat,rf_balanced,2840,"[0.539, 0.484, 0.532, 0.601, 0.531]"
0.5304734758336492,14.983997576015176,10.954201840598952,0.7077464788732394,0.9869718309859155,0.6124262936336616,0.7971014492753623,0.3495762711864407,4,full_history,diagnostic_non_deployable,external,rf_balanced,2840,"[0.508, 0.423, 0.596, 0.581, 0.532]"
0.5287424165175494,15.011593807410646,10.978087919357328,0.7140845070422536,0.972887323943662,0.670486871499184,0.6652542372881356,0.6652542372881356,6,full_history,diagnostic_non_deployable,base_cat,hgb_l2,2840,"[0.536, 0.466, 0.617, 0.59, 0.532]"
0.5284353223145914,15.016484150634005,10.843119865458197,0.7017605633802817,0.9890845070422535,0.5977988712647322,0.7609756097560976,0.3305084745762712,4,full_history,diagnostic_non_deployable,base_cat,rf_balanced,2840,"[0.548, 0.377, 0.578, 0.61, 0.528]"
0.5263639634859987,15.049428141630699,11.173484520071025,0.7088028169014085,0.9721830985915493,0.6697683935214308,0.6599597585513078,0.6949152542372882,5,full_history,diagnostic_non_deployable,base_cat,hgb_l2,2840,"[0.547, 0.483, 0.417, 0.572, 0.529]"
0.5197102062355404,15.15476853116822,11.211808539175758,0.6950704225352112,0.9876760563380281,0.6009604255805318,0.8206521739130435,0.3199152542372881,4,full_history,diagnostic_non_deployable,external_buildings,rf_balanced,2840,"[0.52, 0.338, 0.531, 0.595, 0.52]"
0.5170331462081668,15.196944993766863,11.34284924857958,0.706338028169014,0.9767605633802817,0.6529142951828857,0.6682808716707022,0.5847457627118644,6,full_history,diagnostic_non_deployable,external_interactions,hgb_l2,2840,"[0.561, 0.505, 0.579, 0.592, 0.518]"
0.5166794351895178,15.20250887773578,11.15646288019753,0.6830985915492958,0.9855633802816901,0.5959485084275223,0.6984126984126984,0.3728813559322034,3,full_history,diagnostic_non_deployable,cyclic_weather,rf_balanced,2840,"[0.492, 0.584, 0.457, 0.599, 0.517]"
0.5154716315217196,15.2214923333632,11.381397987273708,0.6933098591549296,0.9721830985915493,0.6560006090015039,0.6504065040650406,0.6779661016949152,5,full_history,diagnostic_non_deployable,cyclic_weather,hgb_l2,2840,"[0.526, 0.467, 0.465, 0.585, 0.518]"
