threshold,danger_precision,danger_recall,false_alarm_rate
35.0,0.3165340406719717,0.9132653061224489,0.39278455284552843
37.5,0.35859124866595515,0.8571428571428571,0.3053861788617886
40.0,0.40522875816993464,0.7908163265306123,0.23119918699186992
42.5,0.46254071661237783,0.7244897959183674,0.1676829268292683
45.0,0.5119521912350598,0.6556122448979592,0.12449186991869919
47.5,0.5486284289276808,0.5612244897959183,0.09197154471544715
50.0,0.6116504854368932,0.48214285714285715,0.06097560975609756
52.5,0.6708333333333333,0.4107142857142857,0.04014227642276423
55.0,0.7311827956989247,0.3469387755102041,0.02540650406504065
57.5,0.7808219178082192,0.29081632653061223,0.016260162601626018
60.0,0.7964601769911505,0.22959183673469388,0.011686991869918699
